GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,comfort_food_reasons_coded,cook,cuisine,diet_current_coded,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
3.6,2,1,720,3,420,1,5,1,1,2,5,2,3,2,1,3,5,2,4,3,1,8,4,1,1,3,8,1,2,5,3,1,3,1,3,2,1,1165,500,nan,5,2,760,169
3.3,2,1,610,4,980,5,3,1,4,1,3,3,3,5,1,2,0,1,5,2,5,8,5,6,5,5,8,1,2,5,1,1,3,5,2,1,5,1165,500,Hockey,4,1,1315,185
3.3,2,1,610,4,420,2,1,1,3,1,3,5,2,4,1,3,2,1,5,2,5,1,3,5,3,5,5,1,2,5,1,1,3,3,2,1,3,1165,500,Lacrosse ,5,2,900,200
3.292,2,1,610,3,980,2,4,1,4,3,4,3,2,3,1,2,5,3,4,4,4,5,3,3,2,5,1,1,5,1,3,1,3,3,4,2,1,940,500,nan,4,1,1315,265
3.5,2,1,610,3,420,1,1,2,1,2,5,3,3,5,1,4,1,1,5,2,5,10,7,6,4,5,10,1,5,4,1,1,6,2,2,1,4,940,690,hockey,5,1,900,165
3.35,1,2,610,2,315,2,3,1,2,4,10,5,3,3,1,1,1,1,4,1,3,8,5,3,2,5,8,1,3,3,1,2,2,2,3,1,3,940,500,softball,4,2,900,192
3.8,2,1,720,4,315,2,3,1,1,2,5,4,3,5,1,4,4,1,5,4,4,1,2,6,5,5,1,1,4,4,2,1,4,4,2,1,5,1165,500,Hockey,5,1,1315,175
2.8,1,1,610,4,980,9,2,1,1,2,5,3,2,2,1,2,5,3,4,2,5,9,2,5,2,5,10,1,4,5,1,1,3,1,2,1,2,725,345,softball,4,1,1315,140
3.5,1,1,610,3,420,1,1,2,3,1,11,2,2,5,2,4,2,1,5,3,5,4,6,5,5,5,1,1,5,2,2,1,4,4,3,1,5,1165,690,Skiing,5,1,1315,155
3.7,1,1,610,3,420,2,2,1,3,1,11,2,3,5,1,4,1,3,5,4,5,7,1,6,5,5,10,1,4,2,2,2,3,4,3,1,5,1165,500,skiing ,4,2,1315,155
3.6,1,1,610,4,420,3,2,1,1,3,4,5,3,5,1,4,2,1,5,1,4,3,6,6,1,5,5,1,4,4,1,1,3,1,2,1,1,1165,690,Water polo and running ,5,1,1315,135
3.4,1,1,610,2,980,3,2,1,1,2,5,2,2,4,2,2,2,2,3,4,3,2,2,4,2,4,5,2,4,4,3,1,2,3,2,2,2,725,500,nan,3,1,1315,118
3.9,2,1,610,4,980,2,3,1,1,2,5,5,2,2,1,2,1,1,4,4,3,2,7,6,2,5,1,1,2,4,1,2,3,2,2,1,2,1165,850,Ice Hockey,4,1,1315,210
2.6,1,1,610,4,980,3,3,2,1,3,4,4,3,5,1,4,1,1,5,3,4,8,6,5,4,4,8,2,4,4,1,1,3,4,2,1,4,1165,690,rowing ,5,2,1315,180
3.5,1,1,610,3,420,2,1,1,1,1,3,3,2,4,1,2,4,3,5,2,4,3,5,2,3,5,1,2,2,4,1,1,2,3,4,1,3,940,500,Volleyball,5,1,760,140
3.2,1,1,610,3,315,2,2,2,2,1,11,3,3,3,2,5,1,3,3,2,3,3,6,6,1,5,3,2,4,1,1,2,5,1,2,2,4,725,500,None,3,2,900,112
3,1,1,720,3,420,3,2,1,1,1,3,2,3,3,1,2,5,1,5,1,4,3,5,4,3,5,3,2,4,4,1,1,3,3,2,1,3,940,500,tennis  ,5,1,900,125
3.6,1,1,610,2,420,2,4,1,2,1,3,3,2,5,2,2,1,1,5,2,2,2,7,5,2,4,2,2,3,2,1,2,4,1,2,1,2,940,690,"Recreational Basketball, Equestrian Team",5,2,1315,154
3.2,1,1,430,3,315,1,3,1,1,1,3,1,3,4,1,5,1,1,5,1,3,8,3,6,2,5,8,2,5,3,1,1,4,2,3,1,4,725,500,soccer,5,2,760,145
3.67,1,2,720,4,420,2,2,1,2,1,3,2,3,2,2,4,1,1,3,3,1,3,4,6,1,5,3,2,4,4,2,1,3,1,3,2,5,1165,690,None,5,1,1315,130
